Specimen label,"1018_1"
End date,"Monday, January 24, 2022"
Thickness,"6.24000",mm
Width,"12.38000",mm
Final length,"57.02000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.38000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"12.100","1.008","11592.05","0.00048","0.00016"
"12.200","1.017","11717.21","0.00049","0.00016"
"12.300","1.025","11821.44","0.00050","0.00016"
"12.400","1.034","11942.29","0.00050","0.00016"
"12.500","1.042","12043.90","0.00051","0.00016"
"12.600","1.050","12156.16","0.00052","0.00017"
"12.700","1.058","12289.32","0.00052","0.00017"
"12.800","1.067","12387.84","0.00053","0.00017"
"12.900","1.075","12530.00","0.00054","0.00018"
"13.000","1.083","12638.69","0.00054","0.00018"
"13.100","1.092","12749.74","0.00055","0.00018"
"13.200","1.100","12862.38","0.00056","0.00019"
"13.300","1.109","12980.45","0.00057","0.00019"
"13.400","1.117","13107.78","0.00057","0.00019"
"13.500","1.125","13213.70","0.00058","0.00019"
"13.600","1.133","13348.29","0.00059","0.00020"
"13.700","1.142","13451.60","0.00059","0.00020"
"13.800","1.150","13581.88","0.00060","0.00020"
"13.900","1.158","13685.51","0.00061","0.00020"
"14.000","1.167","13815.96","0.00062","0.00021"
"14.100","1.175","13946.13","0.00063","0.00021"
"14.200","1.183","14053.78","0.00063","0.00021"
"14.300","1.192","14197.53","0.00064","0.00022"
"14.400","1.200","14296.16","0.00065","0.00022"
"14.500","1.209","14420.31","0.00065","0.00023"
"14.600","1.217","14539.03","0.00066","0.00023"
"14.700","1.225","14657.91","0.00067","0.00023"
"14.800","1.234","14803.59","0.00068","0.00024"
"14.900","1.242","14910.38","0.00069","0.00024"
"15.000","1.250","15043.20","0.00069","0.00024"
"15.100","1.259","15161.64","0.00070","0.00025"
"15.200","1.267","15293.09","0.00071","0.00025"
"15.300","1.275","15415.17","0.00072","0.00026"
"15.400","1.284","15542.31","0.00073","0.00026"
"15.500","1.292","15658.20","0.00073","0.00026"
"15.600","1.300","15792.05","0.00074","0.00027"
"15.700","1.308","15913.34","0.00075","0.00027"
"15.800","1.317","16046.47","0.00076","0.00027"
"15.900","1.325","16170.69","0.00077","0.00027"
"16.000","1.333","16284.31","0.00077","0.00028"
"16.100","1.342","16446.17","0.00079","0.00028"
"16.200","1.350","16549.57","0.00079","0.00028"
"16.300","1.358","16674.86","0.00080","0.00029"
"16.400","1.367","16810.62","0.00081","0.00029"
"16.500","1.375","16934.05","0.00082","0.00030"
"16.600","1.383","17072.69","0.00082","0.00030"
"16.700","1.392","17197.99","0.00083","0.00031"
"16.800","1.400","17315.55","0.00084","0.00031"
"16.900","1.408","17469.76","0.00085","0.00031"
"17.000","1.417","17588.79","0.00086","0.00032"
"17.100","1.425","17714.13","0.00087","0.00032"
"17.200","1.433","17858.17","0.00088","0.00033"
"17.300","1.442","17968.75","0.00089","0.00033"
"17.400","1.450","18124.07","0.00090","0.00033"
"17.500","1.458","18228.66","0.00090","0.00034"
"17.600","1.467","18367.68","0.00092","0.00034"
