Specimen label,"1018_3"
End date,"Monday, January 24, 2022"
Thickness,"6.28000",mm
Width,"12.33000",mm
Final length,"57.08000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.33000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"0.000","0.000","0.06","0.00000","0.00000"
"0.100","0.004","7.40","0.00000","0.00000"
"0.200","0.014","106.22","0.00000","0.00000"
"0.300","0.024","233.88","0.00002","0.00001"
"0.400","0.033","330.01","0.00003","0.00001"
"0.500","0.042","432.85","0.00004","0.00002"
"0.600","0.050","513.44","0.00005","0.00002"
"0.700","0.059","613.98","0.00007","0.00002"
"0.800","0.067","691.87","0.00008","0.00002"
"0.900","0.075","790.28","0.00009","0.00002"
"1.000","0.084","874.50","0.00009","0.00003"
"1.100","0.092","1000.58","0.00010","0.00003"
"1.200","0.100","1078.30","0.00009","0.00003"
"1.300","0.109","1180.38","0.00009","0.00004"
"1.400","0.117","1285.31","0.00009","0.00004"
"1.500","0.125","1382.77","0.00008","0.00004"
"1.600","0.134","1465.69","0.00008","0.00004"
"1.700","0.142","1574.15","0.00008","0.00005"
"1.800","0.150","1672.57","0.00008","0.00005"
"1.900","0.159","1752.64","0.00007","0.00005"
"2.000","0.167","1870.46","0.00007","0.00005"
"2.100","0.175","1953.24","0.00007","0.00006"
"2.200","0.184","2045.46","0.00006","0.00006"
"2.300","0.192","2123.41","0.00007","0.00006"
"2.400","0.200","2222.26","0.00006","0.00006"
"2.500","0.209","2286.25","0.00006","0.00006"
"2.600","0.217","2351.00","0.00007","0.00007"
"2.700","0.225","2442.55","0.00007","0.00007"
"2.800","0.234","2523.44","0.00007","0.00007"
"2.900","0.242","2583.34","0.00007","0.00007"
"3.000","0.250","2676.59","0.00007","0.00007"
"3.100","0.258","2742.19","0.00008","0.00007"
"3.200","0.267","2839.79","0.00008","0.00007"
"3.300","0.275","2900.76","0.00009","0.00007"
"3.400","0.284","2987.01","0.00009","0.00008"
"3.500","0.292","3092.17","0.00009","0.00008"
"3.600","0.300","3140.05","0.00010","0.00008"
"3.700","0.309","3231.43","0.00010","0.00008"
"3.800","0.317","3326.53","0.00010","0.00008"
"3.900","0.325","3411.37","0.00011","0.00008"
"4.000","0.334","3494.86","0.00011","0.00008"
"4.100","0.342","3570.21","0.00011","0.00008"
"4.200","0.350","3682.84","0.00011","0.00008"
"4.300","0.358","3752.81","0.00012","0.00008"
"4.400","0.367","3854.19","0.00012","0.00008"
"4.500","0.375","3956.98","0.00012","0.00008"
"4.600","0.383","4037.58","0.00012","0.00008"
"4.700","0.392","4130.75","0.00012","0.00008"
"4.800","0.400","4228.78","0.00013","0.00008"
"4.900","0.409","4329.48","0.00013","0.00008"
"5.000","0.417","4398.63","0.00013","0.00009"
"5.100","0.425","4518.00","0.00013","0.00009"
"5.200","0.433","4599.16","0.00013","0.00009"
"5.300","0.442","4703.48","0.00013","0.00009"
"5.400","0.450","4799.90","0.00013","0.00009"
"5.500","0.459","4914.69","0.00014","0.00009"
"5.600","0.467","4994.86","0.00014","0.00009"
"5.700","0.475","5107.20","0.00014","0.00009"
"5.800","0.483","5209.24","0.00014","0.00009"
"5.900","0.492","5312.20","0.00015","0.00010"
"6.000","0.500","5402.50","0.00015","0.00010"
"6.100","0.509","5531.21","0.00015","0.00010"
"6.200","0.517","5621.60","0.00016","0.00010"
"6.300","0.525","5728.13","0.00016","0.00010"
"6.400","0.534","5839.71","0.00017","0.00010"
"6.500","0.542","5945.49","0.00017","0.00010"
"6.600","0.550","6052.59","0.00018","0.00011"
"6.700","0.559","6172.17","0.00019","0.00011"
"6.800","0.567","6234.87","0.00019","0.00011"
"6.900","0.575","6364.93","0.00020","0.00011"
"7.000","0.583","6460.21","0.00020","0.00012"
"7.100","0.592","6544.87","0.00021","0.00012"
"7.200","0.600","6652.14","0.00021","0.00012"
"7.300","0.608","6767.08","0.00022","0.00012"
"7.400","0.617","6841.19","0.00022","0.00012"
"7.500","0.625","6967.07","0.00023","0.00013"
"7.600","0.634","7063.73","0.00023","0.00013"
"7.700","0.642","7167.34","0.00024","0.00013"
"7.800","0.650","7273.32","0.00025","0.00013"
"7.900","0.658","7372.97","0.00025","0.00013"
"8.000","0.667","7470.09","0.00026","0.00014"
"8.100","0.675","7593.05","0.00027","0.00014"
"8.200","0.684","7676.27","0.00027","0.00014"
"8.300","0.692","7803.81","0.00028","0.00014"
"8.400","0.700","7901.89","0.00029","0.00015"
"8.500","0.708","8009.96","0.00029","0.00015"
"8.600","0.717","8120.29","0.00030","0.00015"
"8.700","0.725","8241.27","0.00031","0.00015"
"8.800","0.734","8327.53","0.00031","0.00016"
"8.900","0.742","8463.75","0.00032","0.00016"
"9.000","0.750","8551.48","0.00033","0.00016"
"9.100","0.758","8676.29","0.00033","0.00016"
"9.200","0.767","8777.87","0.00034","0.00017"
"9.300","0.775","8899.25","0.00035","0.00017"
"9.400","0.783","9002.03","0.00036","0.00017"
"9.500","0.792","9112.50","0.00036","0.00017"
"9.600","0.800","9225.57","0.00037","0.00017"
"9.700","0.808","9325.35","0.00038","0.00018"
