Specimen label,"1018_2"
End date,"Monday, January 24, 2022"
Thickness,"6.30000",mm
Width,"12.40000",mm
Final length,"57.11000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.38000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"0.000","0.000","-0.02","0.00000","0.00000"
"0.100","0.004","9.23","0.00000","0.00000"
"0.200","0.014","194.42","0.00001","-0.00001"
"0.300","0.024","372.97","0.00000","-0.00001"
"0.400","0.034","469.24","0.00000","-0.00001"
"0.500","0.042","549.64","-0.00001","0.00000"
"0.600","0.050","624.12","-0.00002","0.00001"
"0.700","0.059","681.12","-0.00003","0.00002"
"0.800","0.067","748.53","-0.00003","0.00002"
"0.900","0.075","826.41","-0.00003","0.00002"
"1.000","0.084","865.44","-0.00003","0.00003"
"1.100","0.092","958.05","-0.00002","0.00003"
"1.200","0.100","1024.36","-0.00002","0.00003"
"1.300","0.109","1083.70","-0.00001","0.00004"
"1.400","0.117","1162.07","-0.00001","0.00004"
"1.500","0.125","1253.79","-0.00001","0.00004"
"1.600","0.134","1315.22","-0.00001","0.00004"
"1.700","0.142","1423.10","0.00000","0.00004"
"1.800","0.150","1485.22","0.00000","0.00005"
"1.900","0.159","1576.97","0.00001","0.00005"
"2.000","0.167","1673.72","0.00001","0.00005"
"2.100","0.175","1755.02","0.00001","0.00005"
"2.200","0.184","1845.37","0.00002","0.00006"
"2.300","0.192","1897.82","0.00002","0.00006"
"2.400","0.200","1989.46","0.00002","0.00006"
"2.500","0.209","2066.50","0.00002","0.00006"
"2.600","0.217","2103.22","0.00003","0.00006"
"2.700","0.225","2180.37","0.00003","0.00007"
"2.800","0.234","2266.61","0.00003","0.00007"
"2.900","0.242","2315.83","0.00004","0.00007"
"3.000","0.250","2381.01","0.00004","0.00007"
"3.100","0.259","2450.22","0.00004","0.00007"
"3.200","0.267","2507.44","0.00004","0.00007"
"3.300","0.275","2591.98","0.00005","0.00007"
"3.400","0.284","2667.17","0.00005","0.00008"
"3.500","0.292","2700.10","0.00006","0.00008"
"3.600","0.300","2792.24","0.00006","0.00008"
"3.700","0.308","2875.93","0.00006","0.00008"
"3.800","0.317","2933.88","0.00007","0.00008"
"3.900","0.325","2996.84","0.00007","0.00008"
"4.000","0.334","3092.15","0.00007","0.00007"
"4.100","0.342","3151.09","0.00008","0.00007"
"4.200","0.350","3241.28","0.00008","0.00007"
"4.300","0.358","3299.92","0.00009","0.00007"
"4.400","0.367","3384.44","0.00009","0.00008"
"4.500","0.375","3486.94","0.00009","0.00007"
"4.600","0.384","3535.66","0.00009","0.00008"
"4.700","0.392","3618.12","0.00010","0.00007"
"4.800","0.400","3719.98","0.00010","0.00007"
"4.900","0.408","3797.53","0.00011","0.00007"
"5.000","0.417","3871.02","0.00011","0.00007"
"5.100","0.425","3948.33","0.00011","0.00007"
"5.200","0.433","4052.32","0.00011","0.00007"
"5.300","0.442","4132.16","0.00012","0.00007"
"5.400","0.450","4205.26","0.00012","0.00007"
"5.500","0.459","4311.78","0.00012","0.00007"
"5.600","0.467","4377.75","0.00012","0.00007"
"5.700","0.475","4467.24","0.00013","0.00007"
"5.800","0.484","4555.90","0.00013","0.00007"
"5.900","0.492","4647.12","0.00013","0.00007"
"6.000","0.500","4736.49","0.00013","0.00007"
"6.100","0.509","4796.65","0.00014","0.00007"
"6.200","0.517","4904.30","0.00014","0.00007"
"6.300","0.525","4971.33","0.00014","0.00007"
"6.400","0.533","5066.98","0.00015","0.00007"
