Time (s),Displacement (mm) ,Load (N),Width (mm),Base (mm),Final crack length (mm)
21.6,0.2105,214.80
21.7,0.2112,216.09
21.8,0.2119,216.09
21.9,0.2128,217.38
22,0.2141,218.68
22.1,0.215,219.97
22.2,0.2159,220.61
22.3,0.2173,221.91
22.4,0.2178,223.20
22.5,0.2187,223.84
22.6,0.2203,225.13
22.7,0.2209,226.43
22.8,0.2218,225.78
22.9,0.2234,228.36
23,0.2237,229.01
23.1,0.225,230.30
23.2,0.2259,230.95
23.3,0.2271,232.24
23.4,0.2282,232.88
23.5,0.2291,234.18
23.6,0.2298,234.82
23.7,0.2309,235.47
23.8,0.2318,236.76
23.9,0.2325,237.41
24,0.2337,238.70
24.1,0.2343,240.63
24.2,0.2357,240.63
24.3,0.2364,241.93
24.4,0.2375,243.22
24.5,0.2387,244.51
24.6,0.2398,244.51
24.7,0.2407,245.80
24.8,0.2416,247.09
24.9,0.2427,248.38
25,0.2432,248.38
25.1,0.2441,250.32
25.2,0.2455,251.61
25.3,0.2464,252.26
25.4,0.2477,252.91
25.5,0.2487,254.20
25.6,0.2496,254.84
25.7,0.2505,256.14
25.8,0.2512,256.78
25.9,0.2523,258.07
26,0.2534,259.36
26.1,0.2543,260.01
26.2,0.2552,261.30
26.3,0.2562,261.95
26.4,0.2573,262.59
26.5,0.2577,263.89
26.6,0.2593,265.18
26.7,0.2602,266.47
26.8,0.2609,266.47
26.9,0.2623,267.76
27,0.263,270.34
27.1,0.2639,269.70
27.2,0.265,270.99
27.3,0.2659,271.64
27.4,0.2675,273.57
27.5,0.268,274.86
27.6,0.2693,275.51
27.7,0.27,276.16
27.8,0.2711,276.80
27.9,0.2723,278.09
28,0.2732,278.74
28.1,0.2743,280.68
28.2,0.2752,281.97
28.3,0.2764,281.97
28.4,0.2771,284.55
28.5,0.2782,284.55
28.6,0.2791,286.49
28.7,0.2802,286.49
28.8,0.2811,288.43
28.9,0.282,288.43
29,0.2827,289.07
29.1,0.2836,291.01
29.2,0.285,291.01
29.3,0.2859,292.30
29.4,0.2868,292.95
29.5,0.2875,294.24
29.6,0.2886,295.53
29.7,0.2895,296.18
29.8,0.2909,297.47
29.9,0.2916,298.76
30,0.2927,299.41
30.1,0.2936,300.70
30.2,0.2945,301.34
30.3,0.2961,302.64
30.4,0.2968,303.28
30.5,0.2982,303.93
30.6,0.2991,305.86
30.7,0.3002,306.51
30.8,0.3014,307.80
30.9,0.302,309.09
31,0.3032,309.74
31.1,0.3036,311.03
31.2,0.305,311.68
31.3,0.3057,312.97
31.4,0.307,312.97
31.5,0.3082,314.91
31.6,0.3091,316.20
31.7,0.31,316.84
31.8,0.3109,316.84
31.9,0.3118,319.43
32,0.3127,318.78
32.1,0.3139,319.43
32.2,0.315,322.01
32.3,0.3161,322.66
32.4,0.317,323.95
32.5,0.3179,323.95
32.6,0.3189,325.89
32.7,0.32,325.89
32.8,0.3214,328.47
32.9,0.322,328.47
33,0.3234,328.47
33.1,0.3241,331.05
33.2,0.3252,331.70
33.3,0.3266,332.34
33.4,0.3275,333.64
33.5,0.3282,334.93
33.6,0.3295,336.22
33.7,0.3304,337.51
33.8,0.3313,338.80
33.9,0.3323,338.16
34,0.3334,338.80
34.1,0.3345,340.74
34.2,0.3352,341.39
34.3,0.3363,342.68
34.4,0.3373,343.97
34.5,0.3382,345.26
34.6,0.3393,345.26
34.7,0.3402,346.55
34.8,0.3413,347.20
34.9,0.3425,347.84
35,0.3436,349.14
35.1,0.3445,350.43
35.2,0.3454,350.43
35.3,0.347,353.01
35.4,0.3475,354.30
35.5,0.3488,354.95
35.6,0.3497,356.24
35.7,0.3504,356.89
35.8,0.3516,357.53
35.9,0.3527,358.18
36,0.3538,359.47
36.1,0.3545,360.76
36.2,0.3559,362.05
36.3,0.3566,363.99
36.4,0.3577,363.99
36.5,0.3591,364.64
36.6,0.36,367.22
36.7,0.3609,366.57
36.8,0.3616,367.87
36.9,0.3629,369.16
37,0.3638,370.45
37.1,0.365,371.09
37.2,0.3661,372.39
37.3,0.3668,373.68
37.4,0.3682,374.32
37.5,0.3691,374.97
37.6,0.3697,376.26
37.7,0.3711,376.26
37.8,0.3718,378.20
37.9,0.3731,378.84
38,0.3738,379.49
38.1,0.3752,380.78
38.2,0.3761,382.07
38.3,0.377,383.37
38.4,0.3781,384.01
38.5,0.3795,385.30
38.6,0.3802,386.59
38.7,0.3811,387.24
38.8,0.3822,387.89
38.9,0.3831,389.18
39,0.3845,389.82
39.1,0.3854,391.12
39.2,0.3859,393.05
39.3,0.3875,393.70
39.4,0.3886,394.35
39.5,0.39,395.64
39.6,0.3906,396.28
39.7,0.3913,397.57
39.8,0.3922,397.57
39.9,0.3938,399.51
40,0.3945,400.80
40.1,0.3956,400.80
40.2,0.3968,402.74
40.3,0.3977,403.39
40.4,0.399,404.68
40.5,0.4,404.68
40.6,0.4009,407.26
40.7,0.4015,407.26
40.8,0.4031,408.55
40.9,0.404,409.20
41,0.405,411.14
41.1,0.4059,412.43
41.2,0.407,412.43
41.3,0.4081,413.07
41.4,0.4093,415.01
41.5,0.4104,415.01
41.6,0.4111,415.66
41.7,0.4122,417.60
41.8,0.4134,417.60
41.9,0.4145,418.89
42,0.4154,420.18
42.1,0.4163,421.47
42.2,0.4177,423.41
42.3,0.419,423.41
42.4,0.4197,424.05
42.5,0.4204,425.35
42.6,0.422,426.64
42.7,0.4227,426.64
42.8,0.424,429.22
42.9,0.4252,429.87
43,0.4261,430.51
43.1,0.4272,431.80
43.2,0.4279,432.45
43.3,0.4293,434.39
43.4,0.4304,434.39
43.5,0.4313,435.03
43.6,0.4322,436.32
43.7,0.4336,436.97
43.8,0.4345,438.26
43.9,0.4354,438.91
44,0.4365,440.85
44.1,0.4377,440.85
44.2,0.439,442.14
44.3,0.4399,442.78
44.4,0.4406,444.72
44.5,0.4418,444.72
44.6,0.4427,446.01
44.7,0.444,447.30
44.8,0.4449,448.60
44.9,0.4458,448.60
45,0.4472,449.89
45.1,0.4481,451.18
45.2,0.4495,451.18
45.3,0.4504,453.12
45.4,0.4511,453.76
45.5,0.4524,454.41
45.6,0.4531,455.70
45.7,0.4545,456.99
45.8,0.4556,457.64
45.9,0.4568,458.93
46,0.4574,460.22
46.1,0.459,461.51
46.2,0.4597,462.16
46.3,0.4604,464.10
46.4,0.4617,463.45
46.5,0.4627,464.10
46.6,0.4642,466.03
46.7,0.4649,466.68
46.8,0.4665,467.97
46.9,0.4672,469.26
47,0.4686,470.55
47.1,0.4692,471.20
47.2,0.4706,472.49
47.3,0.4715,473.14
47.4,0.4724,473.78
47.5,0.4736,475.08
47.6,0.4749,475.72
47.7,0.4756,476.37
47.8,0.4767,477.66
47.9,0.4781,478.95
48,0.4788,480.24
48.1,0.4804,480.89
48.2,0.4811,482.18
48.3,0.4822,482.83
48.4,0.4836,483.47
48.5,0.4842,484.76
48.6,0.4851,486.70
48.7,0.4865,486.70
48.8,0.4872,487.99
48.9,0.4886,488.64
49,0.4895,490.58
49.1,0.4908,490.58
49.2,0.4913,491.87
49.3,0.4926,492.51
49.4,0.494,493.80
49.5,0.4949,495.10
49.6,0.4958,495.10
49.7,0.4972,497.68
49.8,0.4983,498.97
49.9,0.4995,499.62
50,0.5008,500.26
50.1,0.5015,501.55
50.2,0.5026,501.55
50.3,0.5033,502.85
50.4,0.5047,502.85
50.5,0.5054,504.14
50.6,0.5067,506.08
50.7,0.5079,507.37
50.8,0.5088,508.01
50.9,0.5099,508.01
51,0.5108,509.95
51.1,0.5122,511.89
51.2,0.5131,511.89
51.3,0.5145,512.53
51.4,0.5154,513.83
51.5,0.5167,515.12
51.6,0.5176,515.76
51.7,0.5188,517.05
51.8,0.5197,517.70
51.9,0.5208,518.99
52,0.5217,520.93
52.1,0.5222,521.58
52.2,0.5238,521.58
52.3,0.5247,522.22
52.4,0.5263,524.80
52.5,0.527,525.45
52.6,0.5283,526.74
52.7,0.5292,528.03
52.8,0.5306,528.68
52.9,0.5317,529.97
53,0.5326,530.62
53.1,0.534,531.91
53.2,0.5347,532.56
53.3,0.5354,532.56
53.4,0.5367,534.49
53.5,0.5381,535.78
53.6,0.539,535.78
53.7,0.5404,537.08
53.8,0.5413,538.37
53.9,0.5426,540.31
54,0.5438,541.60
54.1,0.5447,540.95
54.2,0.5458,542.24
54.3,0.5467,544.18
54.4,0.5481,544.83
54.5,0.549,544.18
54.6,0.5501,546.76
54.7,0.5513,547.41
54.8,0.5522,548.70
54.9,0.5533,549.35
55,0.5547,551.28
55.1,0.5556,551.93
55.2,0.5565,552.58
55.3,0.5578,553.22
55.4,0.5588,554.51
55.5,0.5601,555.16
55.6,0.5613,556.45
55.7,0.5622,558.39
55.8,0.5628,557.10
55.9,0.5638,558.39
56,0.5653,559.68
56.1,0.5663,560.97
56.2,0.5674,560.97
56.3,0.5683,562.26
56.4,0.5694,562.91
56.5,0.5706,564.85
56.6,0.5713,565.49
56.7,0.5728,566.14
56.8,0.5737,567.43
56.9,0.5751,569.37
57,0.576,570.01
57.1,0.5774,570.66
57.2,0.5783,570.66
57.3,0.5794,572.60
57.4,0.5806,573.24
57.5,0.5812,574.53
57.6,0.5826,575.83
57.7,0.5837,576.47
57.8,0.5844,577.76
57.9,0.5858,577.76
58,0.5867,579.06
58.1,0.5881,580.35
58.2,0.5894,581.64
58.3,0.5901,582.28
58.4,0.5917,582.93
58.5,0.5924,584.22
58.6,0.594,585.51
58.7,0.5949,586.81
58.8,0.5962,587.45
58.9,0.5971,588.10
