Angle (deg) ,Force  (kgf)
0,0
2,0.41
4,0.89
6,1.38
8,1.88
10,2.35
12,2.82
14,3.28
16,3.77
18,4.19
20,4.67
22,5.12
24,5.48
26,5.89
28,6.2
30,6.44
35,6.85
40,7.2
45,7.44
90,8.05
135,8.35
180,8.65
270,8.68
360,8.92
450,9.04
540,9.1
720,9.04
900,9.2
1080,9.04
1260,9.18
1620,9.12
1980,9.17
2340,9.21
2700,9.21
3060,9.23
3420,9.23
3780,9.29
4140,9.31
4500,9.38
4860,9.39
5220,9.41
5580,9.48
5940,9.53
6300,9.56
6660,9.57
7020,9.57
7380,9.64
7740,9.65
8100,9.72
8460,9.73
