Angle (deg) ,Force  (kgf)
0,0
2,0.16
4,0.31
6,0.48
8,0.65
10,0.82
12,0.98
14,1.15
16,1.31
18,1.48
20,1.62
22,1.8
24,1.96
26,2.11
28,2.26
30,2.41
35,2.75
40,3.01
45,3.2
90,3.79
135,3.93
180,4.01
270,4.06
360,4.12
450,4.16
540,4.2
720,4.23
900,4.3
1080,4.3
1260,4.32
1620,4.34
1980,4.33
2340,4.33
2700,4.34
3060,4.35
3420,4.35
3780,4.35
4140,4.36
4500,4.36
4860,4.34
