Angle (deg) ,Force  (kgf)
0,0
2,0.47
4,0.88
6,1.39
8,1.87
10,2.34
12,2.81
14,3.3
16,3.78
18,4.24
20,4.71
22,5.15
24,5.6
26,6
28,6.34
30,6.62
35,7.13
40,7.51
45,7.82
90,8.79
135,9.06
180,9.23
270,9.45
360,9.62
450,9.72
540,9.83
720,9.85
900,9.85
1080,9.8
1260,9.86
1620,9.9
1980,9.92
2340,9.91
2700,9.94
3060,9.97
3420,10.03
3780,10.06
4140,10.12
4500,10.1
4860,10.19
5220,10.22
5580,10.29
5940,10.35
6300,10.4
6660,10.33
7020,10.42
7380,10.49
7740,10.56
