Angle (deg) ,Force  (kgf)
0,0
2,0.37
4,0.79
6,1.2
8,1.58
10,2
12,2.38
14,2.85
16,3.27
18,3.67
20,4.11
22,4.5
24,4.92
26,5.32
28,5.64
30,5.96
35,6.5
40,6.89
45,7.18
90,8.2
135,8.65
180,8.91
270,9.08
360,9.07
450,9.05
540,9.08
720,9.24
900,9.2
1080,9.3
1260,9.33
1620,9.41
1980,9.35
2340,9.4
2700,9.42
3060,9.61
3420,9.73
3780,9.81
4140,9.85
4500,9.87
4860,9.89
5220,9.88
5580,9.96
5940,10.05
6300,10.1
6660,10.12
7020,10.2
