Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm),Thickness(m),Width(m),Final length(m),Axial gauge length(m),Transverse gauge length(m),Crosshead Rate(mm/min)
94,7.833,39509.23,0.10215,0.01825,,,,,,
94.1,7.842,39478.02,0.10238,0.01825,,,,,,
94.2,7.85,39459.74,0.10261,0.01825,,,,,,
94.3,7.859,39449.72,0.10285,0.01825,,,,,,
94.4,7.867,39441.75,0.10308,0.01825,,,,,,
94.5,7.875,39409.53,0.10331,0.01824,,,,,,
94.6,7.883,39372.02,0.10354,0.01824,,,,,,
94.7,7.892,39350.89,0.10378,0.01824,,,,,,
94.8,7.9,39322.92,0.10402,0.01824,,,,,,
94.9,7.909,39291.04,0.10425,0.01824,,,,,,
95,7.917,39255.6,0.10449,0.01824,,,,,,
95.1,7.925,39246.36,0.10472,0.01824,,,,,,
95.2,7.934,39232.22,0.10496,0.01824,,,,,,
95.3,7.942,39202.41,0.1052,0.01823,,,,,,
95.4,7.95,39161.8,0.10544,0.01824,,,,,,
95.5,7.958,39145.38,0.10567,0.01823,,,,,,
95.6,7.967,39128.07,0.10591,0.01823,,,,,,
95.7,7.975,39096.91,0.10615,0.01823,,,,,,
95.8,7.984,39058.15,0.10639,0.01823,,,,,,
95.9,7.992,39039.4,0.10663,0.01823,,,,,,
96,8,39029.29,0.10688,0.01823,,,,,,
96.1,8.009,38992.9,0.10712,0.01823,,,,,,
96.2,8.017,38954.98,0.10735,0.01823,,,,,,
96.3,8.025,38932.38,0.10759,0.01823,,,,,,
96.4,8.034,38909,0.10784,0.01823,,,,,,
96.5,8.042,38868.84,0.10808,0.01823,,,,,,
96.6,8.05,38851.36,0.10832,0.01823,,,,,,
96.7,8.058,38838.42,0.10856,0.01823,,,,,,
96.8,8.067,38824.78,0.1088,0.01823,,,,,,
96.9,8.075,38796.09,0.10904,0.01823,,,,,,
97,8.084,38749.95,0.10929,0.01822,,,,,,
97.1,8.092,38720.51,0.10954,0.01822,,,,,,
97.2,8.1,38686.53,0.10978,0.01822,,,,,,
97.3,8.108,38653.28,0.11003,0.01822,,,,,,
97.4,8.117,38631.76,0.11027,0.01822,,,,,,
97.5,8.125,38619.82,0.11051,0.01822,,,,,,
97.6,8.134,38596.77,0.11076,0.01822,,,,,,
97.7,8.142,38564.76,0.11101,0.01822,,,,,,
97.8,8.15,38535.46,0.11125,0.01822,,,,,,
97.9,8.159,38514.68,0.11149,0.01822,,,,,,
98,8.167,38476.35,0.11175,0.01822,,,,,,
98.1,8.175,38436.6,0.112,0.01822,,,,,,
98.2,8.184,38413.81,0.11225,0.01821,,,,,,
98.3,8.192,38395.94,0.11249,0.01821,,,,,,
98.4,8.2,38360.17,0.11274,0.01821,,,,,,
98.5,8.209,38326.84,0.11299,0.01821,,,,,,
98.6,8.217,38306.42,0.11325,0.01821,,,,,,
98.7,8.225,38271.24,0.11349,0.01821,,,,,,
98.8,8.234,38244.49,0.11374,0.01821,,,,,,
98.9,8.242,38223.33,0.11399,0.01821,,,,,,
99,8.25,38212.7,0.11424,0.01821,,,,,,
99.1,8.259,38166.37,0.11449,0.0182,,,,,,
99.2,8.267,38125.19,0.11474,0.01821,,,,,,
99.3,8.275,38105.14,0.115,0.01821,,,,,,
99.4,8.284,38061.16,0.11525,0.0182,,,,,,
99.5,8.292,38025.93,0.1155,0.0182,,,,,,
99.6,8.3,38013.57,0.11574,0.0182,,,,,,
99.7,8.309,38000.43,0.116,0.0182,,,,,,
99.8,8.317,37967.2,0.11625,0.01819,,,,,,
99.9,8.325,37916.45,0.1165,0.01819,,,,,,
100,8.334,37900.52,0.11674,0.01819,,,,,,
100.1,8.342,37853.29,0.117,0.01819,,,,,,
100.2,8.35,37815.32,0.11726,0.01819,,,,,,
100.3,8.359,37792.09,0.1175,0.01819,,,,,,
100.4,8.367,37778.36,0.11775,0.01819,,,,,,
100.5,8.375,37748.39,0.118,0.01819,,,,,,
100.6,8.384,37713.79,0.11826,0.01819,,,,,,
100.7,8.392,37697.51,0.11852,0.01819,,,,,,
100.8,8.4,37646.11,0.11877,0.01819,,,,,,
100.9,8.409,37614.14,0.11903,0.01819,,,,,,
101,8.417,37594.52,0.11929,0.01819,,,,,,
101.1,8.425,37563.42,0.11954,0.01819,,,,,,
101.2,8.434,37517.53,0.11979,0.01818,,,,,,
101.3,8.442,37486.48,0.12005,0.01818,,,,,,
101.4,8.45,37455.32,0.12032,0.01818,,,,,,
101.5,8.458,37422.73,0.12058,0.01818,,,,,,
101.6,8.467,37398.26,0.12083,0.01818,,,,,,
101.7,8.475,37374.91,0.12109,0.01818,,,,,,
101.8,8.484,37345.41,0.12135,0.01818,,,,,,
101.9,8.492,37294.68,0.12161,0.01818,,,,,,
102,8.5,37265.66,0.12186,0.01818,,,,,,
102.1,8.508,37213.72,0.12211,0.01818,,,,,,
102.2,8.517,37185.7,0.12237,0.01818,,,,,,
102.3,8.525,37180.11,0.12263,0.01818,,,,,,
102.4,8.534,37150.32,0.12288,0.01817,,,,,,
102.5,8.542,37102.65,0.12315,0.01817,,,,,,
102.6,8.55,37081.23,0.12341,0.01817,,,,,,
102.7,8.558,37037.54,0.12366,0.01817,,,,,,
102.8,8.567,36997.67,0.12393,0.01817,,,,,,
102.9,8.575,36980.78,0.1242,0.01817,,,,,,
103,8.584,36942.47,0.12446,0.01817,,,,,,
103.1,8.592,36898.14,0.12472,0.01817,,,,,,
103.2,8.6,36877.53,0.12497,0.01817,,,,,,
103.3,8.609,36840.3,0.12522,0.01817,,,,,,
103.4,8.617,36793.56,0.12549,0.01817,,,,,,
103.5,8.625,36772.77,0.12575,0.01817,,,,,,
103.6,8.634,36748.16,0.12601,0.01817,,,,,,
103.7,8.642,36701.34,0.12628,0.01816,,,,,,
103.8,8.65,36663.33,0.12654,0.01816,,,,,,
103.9,8.659,36620.68,0.12681,0.01816,,,,,,
104,8.667,36582.43,0.12708,0.01816,,,,,,
104.1,8.675,36568.59,0.12735,0.01816,,,,,,
104.2,8.684,36529.78,0.12761,0.01816,,,,,,
104.3,8.692,36487.89,0.12787,0.01816,,,,,,
104.4,8.7,36456.77,0.12815,0.01816,,,,,,
104.5,8.709,36411.95,0.12842,0.01815,,,,,,
104.6,8.717,36370.88,0.12869,0.01815,,,,,,
104.7,8.725,36350.12,0.12896,0.01815,,,,,,
104.8,8.733,36313.85,0.12923,0.01815,,,,,,
104.9,8.742,36272.66,0.1295,0.01815,,,,,,
105,8.75,36234.25,0.12978,0.01815,,,,,,
105.1,8.759,36183.15,0.13005,0.01815,,,,,,
105.2,8.767,36154.05,0.13032,0.01815,,,,,,
105.3,8.775,36126.63,0.13059,0.01814,,,,,,
105.4,8.784,36092.63,0.13087,0.01814,,,,,,
105.5,8.792,36054.6,0.13115,0.01814,,,,,,
105.6,8.8,36006.7,0.13143,0.01814,,,,,,
105.7,8.809,35962.47,0.1317,0.01814,,,,,,
105.8,8.817,35943.01,0.13198,0.01814,,,,,,
105.9,8.825,35906.53,0.13226,0.01814,,,,,,
106,8.834,35848.84,0.13255,0.01814,,,,,,
106.1,8.842,35814.55,0.13283,0.01814,,,,,,
106.2,8.85,35771.27,0.13311,0.01814,,,,,,
106.3,8.859,35745.17,0.13338,0.01814,,,,,,
106.4,8.867,35705.64,0.13366,0.01813,,,,,,
106.5,8.875,35667.38,0.13394,0.01814,,,,,,
106.6,8.884,35623.91,0.13422,0.01813,,,,,,
106.7,8.892,35574.19,0.13451,0.01813,,,,,,
106.8,8.9,35532.9,0.13479,0.01813,,,,,,
106.9,8.909,35511.24,0.13508,0.01813,,,,,,
107,8.917,35473.01,0.13536,0.01813,,,,,,
107.1,8.925,35424.22,0.13565,0.01813,,,,,,
107.2,8.934,35362.74,0.13593,0.01812,,,,,,
107.3,8.942,35325.4,0.13621,0.01812,,,,,,
107.4,8.95,35299.21,0.1365,0.01812,,,,,,
107.5,8.959,35243.08,0.13679,0.01812,,,,,,
107.6,8.967,35216.9,0.13707,0.01812,,,,,,
107.7,8.975,35164.09,0.13736,0.01812,,,,,,
107.8,8.984,35119.83,0.13765,0.01812,,,,,,
107.9,8.992,35083.83,0.13795,0.01812,,,,,,
108,9,35019.73,0.13824,0.01812,,,,,,
108.1,9.008,34968.69,0.13854,0.01812,,,,,,
108.2,9.017,34925.48,0.13883,0.01812,,,,,,
108.3,9.025,34906.25,0.13912,0.01811,,,,,,
108.4,9.034,34849.23,0.13942,0.01811,,,,,,
108.5,9.042,34778.47,0.13972,0.01811,,,,,,
108.6,9.05,34717.77,0.14002,0.01811,,,,,,
108.7,9.059,34693.38,0.14032,0.01811,,,,,,
108.8,9.067,34634.11,0.14063,0.01811,,,,,,
108.9,9.075,34575.52,0.14094,0.01811,,,,,,
109,9.084,34505.14,0.14125,0.01811,,,,,,
109.1,9.092,34451.66,0.14157,0.01811,,,,,,
109.2,9.1,34365.6,0.14189,0.0181,,,,,,
109.3,9.109,34257.94,0.14226,0.0181,,,,,,
109.4,9.117,34040.96,0.1427,0.01809,,,,,,
109.5,9.125,33454.04,0.14344,0.01808,,,,,,
109.552,9.13,16728.68,0.15167,0.01792,,,,,,
