Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm),Thickness(m),Width(m),Final length(m),Axial gauge length(m),Transverse gauge length(m),Crosshead Rate(mm/min)
0,0,-0.02,0,0,0.0063,0.0124,0.05711,0.0254,0.01238,5
0.1,0.004,9.23,0,0,,,,,,
0.2,0.014,194.42,0.00001,-0.00001,,,,,,
0.3,0.024,372.97,0,-0.00001,,,,,,
0.4,0.034,469.24,0,-0.00001,,,,,,
0.5,0.042,549.64,-0.00001,0,,,,,,
0.6,0.05,624.12,-0.00002,0.00001,,,,,,
0.7,0.059,681.12,-0.00003,0.00002,,,,,,
0.8,0.067,748.53,-0.00003,0.00002,,,,,,
0.9,0.075,826.41,-0.00003,0.00002,,,,,,
1,0.084,865.44,-0.00003,0.00003,,,,,,
1.1,0.092,958.05,-0.00002,0.00003,,,,,,
1.2,0.1,1024.36,-0.00002,0.00003,,,,,,
1.3,0.109,1083.7,-0.00001,0.00004,,,,,,
1.4,0.117,1162.07,-0.00001,0.00004,,,,,,
1.5,0.125,1253.79,-0.00001,0.00004,,,,,,
1.6,0.134,1315.22,-0.00001,0.00004,,,,,,
1.7,0.142,1423.1,0,0.00004,,,,,,
1.8,0.15,1485.22,0,0.00005,,,,,,
1.9,0.159,1576.97,0.00001,0.00005,,,,,,
2,0.167,1673.72,0.00001,0.00005,,,,,,
2.1,0.175,1755.02,0.00001,0.00005,,,,,,
2.2,0.184,1845.37,0.00002,0.00006,,,,,,
2.3,0.192,1897.82,0.00002,0.00006,,,,,,
2.4,0.2,1989.46,0.00002,0.00006,,,,,,
2.5,0.209,2066.5,0.00002,0.00006,,,,,,
2.6,0.217,2103.22,0.00003,0.00006,,,,,,
2.7,0.225,2180.37,0.00003,0.00007,,,,,,
2.8,0.234,2266.61,0.00003,0.00007,,,,,,
2.9,0.242,2315.83,0.00004,0.00007,,,,,,
3,0.25,2381.01,0.00004,0.00007,,,,,,
3.1,0.259,2450.22,0.00004,0.00007,,,,,,
3.2,0.267,2507.44,0.00004,0.00007,,,,,,
3.3,0.275,2591.98,0.00005,0.00007,,,,,,
3.4,0.284,2667.17,0.00005,0.00008,,,,,,
3.5,0.292,2700.1,0.00006,0.00008,,,,,,
3.6,0.3,2792.24,0.00006,0.00008,,,,,,
3.7,0.308,2875.93,0.00006,0.00008,,,,,,
3.8,0.317,2933.88,0.00007,0.00008,,,,,,
3.9,0.325,2996.84,0.00007,0.00008,,,,,,
4,0.334,3092.15,0.00007,0.00007,,,,,,
4.1,0.342,3151.09,0.00008,0.00007,,,,,,
