Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm),Thickness(m),Width(m),Final length(m),Axial gauge length(m),Transverse gauge length(m),Crosshead Rate(mm/min)
4.2,0.35,3241.28,0.00008,0.00007,,,,,,
4.3,0.358,3299.92,0.00009,0.00007,,,,,,
4.4,0.367,3384.44,0.00009,0.00008,,,,,,
4.5,0.375,3486.94,0.00009,0.00007,,,,,,
4.6,0.384,3535.66,0.00009,0.00008,,,,,,
4.7,0.392,3618.12,0.0001,0.00007,,,,,,
4.8,0.4,3719.98,0.0001,0.00007,,,,,,
4.9,0.408,3797.53,0.00011,0.00007,,,,,,
5,0.417,3871.02,0.00011,0.00007,,,,,,
5.1,0.425,3948.33,0.00011,0.00007,,,,,,
5.2,0.433,4052.32,0.00011,0.00007,,,,,,
5.3,0.442,4132.16,0.00012,0.00007,,,,,,
5.4,0.45,4205.26,0.00012,0.00007,,,,,,
5.5,0.459,4311.78,0.00012,0.00007,,,,,,
5.6,0.467,4377.75,0.00012,0.00007,,,,,,
5.7,0.475,4467.24,0.00013,0.00007,,,,,,
5.8,0.484,4555.9,0.00013,0.00007,,,,,,
5.9,0.492,4647.12,0.00013,0.00007,,,,,,
6,0.5,4736.49,0.00013,0.00007,,,,,,
6.1,0.509,4796.65,0.00014,0.00007,,,,,,
6.2,0.517,4904.3,0.00014,0.00007,,,,,,
6.3,0.525,4971.33,0.00014,0.00007,,,,,,
6.4,0.533,5066.98,0.00015,0.00007,,,,,,
6.5,0.542,5161.18,0.00015,0.00007,,,,,,
6.6,0.55,5222.71,0.00015,0.00007,,,,,,
6.7,0.559,5319.51,0.00016,0.00007,,,,,,
6.8,0.567,5389.08,0.00016,0.00007,,,,,,
6.9,0.575,5486.52,0.00017,0.00008,,,,,,
7,0.583,5570.76,0.00017,0.00008,,,,,,
7.1,0.592,5652.99,0.00018,0.00008,,,,,,
7.2,0.6,5746.92,0.00018,0.00009,,,,,,
7.3,0.609,5814.61,0.00018,0.00009,,,,,,
7.4,0.617,5934.76,0.00019,0.00009,,,,,,
7.5,0.625,6011.94,0.00019,0.00009,,,,,,
7.6,0.633,6094.7,0.00019,0.00009,,,,,,
7.7,0.642,6209.48,0.0002,0.0001,,,,,,
7.8,0.65,6301.82,0.00021,0.0001,,,,,,
7.9,0.659,6389.04,0.00021,0.0001,,,,,,
8,0.667,6480.96,0.00021,0.00011,,,,,,
8.1,0.675,6596.28,0.00023,0.00011,,,,,,
8.2,0.684,6656.04,0.00023,0.00011,,,,,,
8.3,0.692,6780.75,0.00024,0.00011,,,,,,
8.4,0.7,6872.08,0.00025,0.00011,,,,,,
8.5,0.708,6963.26,0.00025,0.00012,,,,,,
8.6,0.717,7062.56,0.00025,0.00012,,,,,,
8.7,0.725,7183.99,0.00026,0.00012,,,,,,
8.8,0.733,7257.57,0.00027,0.00012,,,,,,
8.9,0.742,7382.25,0.00027,0.00013,,,,,,
9,0.75,7467.94,0.00028,0.00013,,,,,,
9.1,0.758,7577.99,0.00029,0.00013,,,,,,
9.2,0.767,7681.41,0.00029,0.00013,,,,,,
9.3,0.775,7777.28,0.0003,0.00013,,,,,,
9.4,0.783,7875.18,0.00031,0.00014,,,,,,
9.5,0.792,8005.46,0.00031,0.00014,,,,,,
9.6,0.8,8087.84,0.00032,0.00014,,,,,,
9.7,0.808,8207.92,0.00033,0.00014,,,,,,
9.8,0.817,8308.87,0.00034,0.00014,,,,,,
9.9,0.825,8426.83,0.00034,0.00015,,,,,,
10,0.834,8526.13,0.00035,0.00015,,,,,,
10.1,0.842,8629.58,0.00035,0.00015,,,,,,
10.2,0.85,8727.88,0.00036,0.00015,,,,,,
10.3,0.859,8864.24,0.00037,0.00015,,,,,,
10.4,0.867,8948.12,0.00037,0.00015,,,,,,
10.5,0.875,9072.5,0.00038,0.00016,,,,,,
10.6,0.883,9171.92,0.00039,0.00016,,,,,,
10.7,0.892,9297.48,0.0004,0.00017,,,,,,
10.8,0.9,9400.32,0.00041,0.00017,,,,,,
10.9,0.909,9508.93,0.00041,0.00017,,,,,,
11,0.917,9620.8,0.00042,0.00017,,,,,,
11.1,0.925,9722.24,0.00043,0.00017,,,,,,
11.2,0.933,9852.31,0.00044,0.00018,,,,,,
11.3,0.942,9952.78,0.00044,0.00018,,,,,,
11.4,0.95,10070.83,0.00045,0.00018,,,,,,
11.5,0.958,10175.8,0.00046,0.00018,,,,,,
11.6,0.967,10299.54,0.00047,0.00018,,,,,,
11.7,0.975,10417.94,0.00047,0.00019,,,,,,
11.8,0.983,10541.78,0.00048,0.00019,,,,,,
11.9,0.992,10634.7,0.00049,0.00019,,,,,,
12,1,10769.76,0.0005,0.00019,,,,,,
12.1,1.009,10867.2,0.00051,0.0002,,,,,,
12.2,1.017,10982.17,0.00051,0.0002,,,,,,
12.3,1.025,11118.97,0.00052,0.0002,,,,,,
12.4,1.033,11207.2,0.00053,0.0002,,,,,,
12.5,1.042,11361.52,0.00054,0.00021,,,,,,
12.6,1.05,11447.59,0.00054,0.00021,,,,,,
12.7,1.059,11569.68,0.00055,0.00021,,,,,,
12.8,1.067,11698.85,0.00056,0.00022,,,,,,
12.9,1.075,11799.16,0.00057,0.00022,,,,,,
13,1.084,11947.44,0.00058,0.00022,,,,,,
13.1,1.092,12041.39,0.00058,0.00022,,,,,,
13.2,1.1,12179.25,0.00059,0.00022,,,,,,
13.3,1.109,12286.08,0.0006,0.00023,,,,,,
13.4,1.117,12398.84,0.00061,0.00023,,,,,,
13.5,1.125,12533.5,0.00061,0.00023,,,,,,
13.6,1.134,12643.23,0.00062,0.00023,,,,,,
13.7,1.142,12788.76,0.00063,0.00024,,,,,,
13.8,1.15,12896.66,0.00064,0.00024,,,,,,
13.9,1.158,13019.27,0.00065,0.00024,,,,,,
14,1.167,13132.6,0.00066,0.00025,,,,,,
14.1,1.175,13255.26,0.00067,0.00025,,,,,,
14.2,1.184,13395.28,0.00068,0.00025,,,,,,
14.3,1.192,13515.71,0.00069,0.00026,,,,,,
14.4,1.2,13640.96,0.0007,0.00026,,,,,,
14.5,1.208,13771.94,0.0007,0.00026,,,,,,
14.6,1.217,13889.67,0.00071,0.00026,,,,,,
14.7,1.225,14025.18,0.00072,0.00027,,,,,,
14.8,1.233,14161.75,0.00073,0.00027,,,,,,
14.9,1.242,14267.84,0.00074,0.00028,,,,,,
15,1.25,14432.3,0.00075,0.00028,,,,,,
15.1,1.258,14537.42,0.00076,0.00028,,,,,,
15.2,1.267,14681.13,0.00077,0.00029,,,,,,
15.3,1.275,14809.53,0.00078,0.00029,,,,,,
15.4,1.284,14947.69,0.00079,0.00029,,,,,,
15.5,1.292,15077.99,0.0008,0.0003,,,,,,
15.6,1.3,15195.27,0.00081,0.0003,,,,,,
15.7,1.308,15336.27,0.00082,0.0003,,,,,,
15.8,1.317,15476.42,0.00083,0.00031,,,,,,
15.9,1.325,15606.25,0.00084,0.00031,,,,,,
16,1.333,15719.57,0.00085,0.00032,,,,,,
16.1,1.342,15879.03,0.00086,0.00032,,,,,,
16.2,1.35,15988.29,0.00087,0.00033,,,,,,
16.3,1.359,16135.8,0.00088,0.00033,,,,,,
16.4,1.367,16265.42,0.00089,0.00034,,,,,,
16.5,1.375,16400.38,0.00089,0.00034,,,,,,
16.6,1.384,16529.97,0.00091,0.00034,,,,,,
16.7,1.392,16662.02,0.00092,0.00035,,,,,,
16.8,1.4,16783.55,0.00093,0.00035,,,,,,
16.9,1.408,16934.04,0.00093,0.00035,,,,,,
17,1.417,17070.11,0.00094,0.00035,,,,,,
17.1,1.425,17197.33,0.00095,0.00036,,,,,,
17.2,1.433,17336.95,0.00096,0.00036,,,,,,
17.3,1.442,17470.65,0.00097,0.00036,,,,,,
17.4,1.45,17593.95,0.00098,0.00037,,,,,,
17.5,1.459,17753.98,0.00099,0.00037,,,,,,
17.6,1.467,17867.36,0.001,0.00038,,,,,,
17.7,1.475,17999.03,0.00101,0.00038,,,,,,
17.8,1.483,18153.84,0.00102,0.00038,,,,,,
17.9,1.492,18284,0.00103,0.00039,,,,,,
18,1.5,18415.84,0.00104,0.00039,,,,,,
18.1,1.508,18561.69,0.00105,0.0004,,,,,,
18.2,1.517,18698.45,0.00106,0.0004,,,,,,
18.3,1.525,18823.44,0.00107,0.0004,,,,,,
18.4,1.533,18987.65,0.00108,0.00041,,,,,,
18.5,1.542,19103.98,0.00109,0.00041,,,,,,
18.6,1.55,19248.59,0.0011,0.00042,,,,,,
18.7,1.558,19382.86,0.00111,0.00042,,,,,,
18.8,1.567,19534.16,0.00112,0.00042,,,,,,
18.9,1.575,19646.39,0.00113,0.00043,,,,,,
19,1.583,19821.16,0.00114,0.00044,,,,,,
19.1,1.592,19943.85,0.00115,0.00044,,,,,,
19.2,1.6,20084.69,0.00117,0.00045,,,,,,
19.3,1.608,20225.62,0.00118,0.00045,,,,,,
19.4,1.617,20368.59,0.00119,0.00045,,,,,,
19.5,1.625,20488.14,0.0012,0.00045,,,,,,
19.6,1.634,20650.15,0.00121,0.00046,,,,,,
19.7,1.642,20775.88,0.00122,0.00046,,,,,,
19.8,1.65,20910.18,0.00123,0.00047,,,,,,
19.9,1.658,21064.27,0.00124,0.00047,,,,,,
20,1.667,21210.26,0.00125,0.00048,,,,,,
20.1,1.675,21340.38,0.00126,0.00048,,,,,,
20.2,1.684,21491.26,0.00128,0.00049,,,,,,
20.3,1.692,21635.44,0.00129,0.00049,,,,,,
20.4,1.7,21763.74,0.0013,0.0005,,,,,,
20.5,1.708,21899.9,0.00131,0.0005,,,,,,
20.6,1.717,22069.48,0.00132,0.00051,,,,,,
20.7,1.725,22181.28,0.00133,0.00051,,,,,,
20.8,1.733,22334.12,0.00135,0.00052,,,,,,
20.9,1.742,22477.07,0.00136,0.00052,,,,,,
21,1.75,22617.09,0.00136,0.00053,,,,,,
21.1,1.758,22742.78,0.00137,0.00053,,,,,,
21.2,1.767,22923.41,0.00139,0.00054,,,,,,
21.3,1.775,23040.06,0.0014,0.00054,,,,,,
21.4,1.783,23192.99,0.00141,0.00055,,,,,,
21.5,1.792,23331.51,0.00143,0.00056,,,,,,
21.6,1.8,23491.83,0.00144,0.00056,,,,,,
21.7,1.808,23616.11,0.00145,0.00057,,,,,,
21.8,1.817,23770.5,0.00146,0.00057,,,,,,
21.9,1.825,23909.36,0.00147,0.00058,,,,,,
22,1.833,24055.04,0.00149,0.00058,,,,,,
22.1,1.842,24181.03,0.0015,0.00058,,,,,,
22.2,1.85,24352.5,0.00151,0.00059,,,,,,
22.3,1.858,24481.05,0.00152,0.0006,,,,,,
22.4,1.867,24615.97,0.00153,0.0006,,,,,,
22.5,1.875,24771.54,0.00154,0.00061,,,,,,
22.6,1.883,24913.71,0.00155,0.00061,,,,,,
22.7,1.892,25048.65,0.00157,0.00062,,,,,,
22.8,1.9,25197.21,0.00158,0.00062,,,,,,
22.9,1.909,25347.38,0.00159,0.00063,,,,,,
23,1.917,25472.04,0.0016,0.00064,,,,,,
23.1,1.925,25623.75,0.00162,0.00064,,,,,,
23.2,1.933,25776.95,0.00163,0.00065,,,,,,
23.3,1.942,25911.84,0.00164,0.00065,,,,,,
23.4,1.95,26044.54,0.00165,0.00066,,,,,,
23.5,1.958,26219.58,0.00167,0.00067,,,,,,
23.6,1.967,26338.87,0.00168,0.00067,,,,,,
23.7,1.975,26489.25,0.00169,0.00068,,,,,,
23.8,1.984,26634.12,0.00171,0.00068,,,,,,
23.9,1.992,26791.55,0.00172,0.00069,,,,,,
24,2,26920.73,0.00173,0.00069,,,,,,
24.1,2.009,27074.03,0.00175,0.0007,,,,,,
24.2,2.017,27214.23,0.00176,0.00071,,,,,,
24.3,2.025,27369.53,0.00177,0.00071,,,,,,
24.4,2.034,27493.62,0.00179,0.00072,,,,,,
24.5,2.042,27661.23,0.0018,0.00073,,,,,,
24.6,2.05,27794.38,0.00182,0.00073,,,,,,
24.7,2.058,27938.88,0.00183,0.00074,,,,,,
24.8,2.067,28080.55,0.00185,0.00075,,,,,,
24.9,2.075,28236.5,0.00186,0.00076,,,,,,
25,2.084,28358.16,0.00187,0.00076,,,,,,
25.1,2.092,28512.2,0.00189,0.00077,,,,,,
25.2,2.1,28660.89,0.0019,0.00078,,,,,,
25.3,2.108,28800.41,0.00191,0.00079,,,,,,
25.4,2.117,28933.82,0.00193,0.00079,,,,,,
25.5,2.125,29094.43,0.00194,0.0008,,,,,,
25.6,2.133,29223.46,0.00196,0.00081,,,,,,
25.7,2.142,29367.95,0.00197,0.00082,,,,,,
25.8,2.15,29519.75,0.00198,0.00082,,,,,,
25.9,2.158,29659.41,0.002,0.00083,,,,,,
26,2.167,29797.11,0.00201,0.00084,,,,,,
26.1,2.175,29951.11,0.00203,0.00085,,,,,,
26.2,2.184,30088.18,0.00204,0.00085,,,,,,
26.3,2.192,30231.76,0.00206,0.00086,,,,,,
26.4,2.2,30363.2,0.00208,0.00087,,,,,,
26.5,2.209,30528.48,0.00209,0.00088,,,,,,
26.6,2.217,30655.08,0.00211,0.00089,,,,,,
26.7,2.225,30798.88,0.00212,0.0009,,,,,,
26.8,2.233,30951.09,0.00213,0.00091,,,,,,
26.9,2.242,31093.73,0.00215,0.00092,,,,,,
27,2.25,31210.09,0.00217,0.00092,,,,,,
27.1,2.258,31377.52,0.00218,0.00093,,,,,,
27.2,2.267,31503.43,0.0022,0.00094,,,,,,
27.3,2.275,31641.75,0.00222,0.00095,,,,,,
27.4,2.283,31787.63,0.00223,0.00096,,,,,,
27.5,2.292,31928.67,0.00225,0.00097,,,,,,
27.6,2.3,32057.96,0.00227,0.00098,,,,,,
27.7,2.308,32220.36,0.00228,0.00099,,,,,,
27.8,2.317,32344.39,0.0023,0.001,,,,,,
27.9,2.325,32476.13,0.00231,0.00101,,,,,,
28,2.333,32622.62,0.00233,0.00102,,,,,,
28.1,2.342,32765.3,0.00235,0.00103,,,,,,
28.2,2.35,32892.15,0.00237,0.00104,,,,,,
28.3,2.359,33040.86,0.00238,0.00105,,,,,,
28.4,2.367,33167.06,0.0024,0.00106,,,,,,
28.5,2.375,33299.98,0.00242,0.00107,,,,,,
28.6,2.383,33447.24,0.00244,0.00108,,,,,,
28.7,2.392,33586.61,0.00245,0.00109,,,,,,
28.8,2.4,33707.09,0.00247,0.0011,,,,,,
28.9,2.408,33862.92,0.00249,0.00111,,,,,,
29,2.417,33974.9,0.00251,0.00112,,,,,,
29.1,2.425,34120.5,0.00252,0.00114,,,,,,
29.2,2.433,34259.81,0.00254,0.00115,,,,,,
29.3,2.442,34395.27,0.00256,0.00116,,,,,,
29.4,2.45,34512.7,0.00258,0.00117,,,,,,
29.5,2.458,34671.72,0.0026,0.00118,,,,,,
29.6,2.467,34782.28,0.00262,0.0012,,,,,,
29.7,2.475,34915.43,0.00264,0.00121,,,,,,
29.8,2.484,35063.15,0.00266,0.00122,,,,,,
29.9,2.492,35171.71,0.00268,0.00123,,,,,,
30,2.5,35318.88,0.0027,0.00124,,,,,,
30.1,2.508,35442.64,0.00272,0.00126,,,,,,
30.2,2.517,35572.2,0.00274,0.00127,,,,,,
30.3,2.525,35705.62,0.00276,0.00128,,,,,,
30.4,2.534,35830.67,0.00278,0.00129,,,,,,
30.5,2.542,35945.07,0.0028,0.0013,,,,,,
30.6,2.55,36085.19,0.00282,0.00132,,,,,,
30.7,2.558,36198.61,0.00284,0.00133,,,,,,
30.8,2.567,36342.34,0.00286,0.00134,,,,,,
30.9,2.575,36470.27,0.00289,0.00136,,,,,,
31,2.584,36581,0.00291,0.00137,,,,,,
31.1,2.592,36719.98,0.00293,0.00138,,,,,,
31.2,2.6,36836.31,0.00295,0.0014,,,,,,
31.3,2.608,36968.23,0.00298,0.00141,,,,,,
31.4,2.617,37086.55,0.003,0.00143,,,,,,
31.5,2.625,37201.1,0.00302,0.00144,,,,,,
31.6,2.633,37328.37,0.00304,0.00146,,,,,,
31.7,2.642,37446.2,0.00307,0.00147,,,,,,
31.8,2.65,37577.79,0.00309,0.00149,,,,,,
31.9,2.659,37693.25,0.00312,0.0015,,,,,,
32,2.667,37808.15,0.00314,0.00152,,,,,,
32.1,2.675,37925.66,0.00316,0.00154,,,,,,
32.2,2.683,38043.65,0.00319,0.00156,,,,,,
32.3,2.692,38171.48,0.00322,0.00157,,,,,,
32.4,2.7,38274.05,0.00325,0.00159,,,,,,
32.5,2.709,38405.66,0.00327,0.00161,,,,,,
32.6,2.717,38503.08,0.0033,0.00162,,,,,,
32.7,2.725,38627.55,0.00332,0.00164,,,,,,
32.8,2.733,38725.89,0.00335,0.00166,,,,,,
32.9,2.742,38835.71,0.00337,0.00168,,,,,,
33,2.75,38969.66,0.0034,0.0017,,,,,,
33.1,2.759,39059.68,0.00343,0.00172,,,,,,
33.2,2.767,39197.54,0.00345,0.00174,,,,,,
33.3,2.775,39276.68,0.00348,0.00176,,,,,,
33.4,2.783,39400.89,0.00351,0.00178,,,,,,
33.5,2.792,39507.75,0.00354,0.0018,,,,,,
33.6,2.8,39616.99,0.00357,0.00182,,,,,,
33.7,2.809,39712.19,0.0036,0.00184,,,,,,
33.8,2.817,39837.47,0.00363,0.00186,,,,,,
33.9,2.825,39915.61,0.00366,0.00188,,,,,,
34,2.833,40036.96,0.00369,0.0019,,,,,,
34.1,2.842,40126.12,0.00372,0.00193,,,,,,
34.2,2.85,40242.74,0.00375,0.00195,,,,,,
34.3,2.858,40331.34,0.00379,0.00197,,,,,,
34.4,2.867,40448.94,0.00382,0.00199,,,,,,
34.5,2.875,40533.06,0.00386,0.00202,,,,,,
34.6,2.884,40643.06,0.00389,0.00204,,,,,,
34.7,2.892,40719.82,0.00393,0.00207,,,,,,
34.8,2.9,40832.25,0.00396,0.0021,,,,,,
34.9,2.908,40908.54,0.004,0.00212,,,,,,
35,2.917,41015.88,0.00403,0.00215,,,,,,
35.1,2.925,41097.45,0.00407,0.00218,,,,,,
35.2,2.933,41200.65,0.00411,0.0022,,,,,,
35.3,2.942,41291.83,0.00415,0.00223,,,,,,
35.4,2.95,41377.41,0.00419,0.00226,,,,,,
35.5,2.959,41481.62,0.00423,0.00229,,,,,,
35.6,2.967,41534.01,0.00427,0.00232,,,,,,
35.7,2.975,41645.71,0.00431,0.00235,,,,,,
35.8,2.984,41721.38,0.00435,0.00238,,,,,,
35.9,2.992,41809.22,0.00439,0.00241,,,,,,
36,3,41896.64,0.00443,0.00244,,,,,,
36.1,3.008,41967.78,0.00448,0.00248,,,,,,
36.2,3.017,42061.78,0.00453,0.00251,,,,,,
36.3,3.025,42125.04,0.00457,0.00254,,,,,,
36.4,3.033,42218.46,0.00462,0.00258,,,,,,
36.5,3.042,42309.03,0.00466,0.00261,,,,,,
36.6,3.05,42356.62,0.00471,0.00265,,,,,,
36.7,3.059,42433.85,0.00476,0.00269,,,,,,
36.8,3.067,42532.23,0.00481,0.00272,,,,,,
36.9,3.075,42582.02,0.00486,0.00276,,,,,,
37,3.084,42663.61,0.00491,0.0028,,,,,,
37.1,3.092,42737.02,0.00496,0.00284,,,,,,
37.2,3.1,42794.58,0.00501,0.00288,,,,,,
37.3,3.109,42878.34,0.00507,0.00292,,,,,,
37.4,3.117,42944.52,0.00513,0.00296,,,,,,
37.5,3.125,42994.12,0.00519,0.003,,,,,,
37.6,3.134,43065.02,0.00524,0.00304,,,,,,
37.7,3.142,43142.61,0.0053,0.00309,,,,,,
37.8,3.15,43181.29,0.00536,0.00313,,,,,,
37.9,3.159,43251.7,0.00542,0.00318,,,,,,
38,3.167,43316.44,0.00548,0.00322,,,,,,
38.1,3.175,43367.02,0.00554,0.00327,,,,,,
38.2,3.183,43432.85,0.0056,0.00331,,,,,,
38.3,3.192,43489.16,0.00567,0.00336,,,,,,
38.4,3.2,43550.39,0.00573,0.00341,,,,,,
38.5,3.209,43584.7,0.0058,0.00346,,,,,,
38.6,3.217,43650.15,0.00587,0.00351,,,,,,
38.7,3.225,43707.77,0.00593,0.00356,,,,,,
38.8,3.233,43768.71,0.006,0.00361,,,,,,
38.9,3.242,43786.67,0.00608,0.00365,,,,,,
39,3.25,43848.37,0.00615,0.00371,,,,,,
39.1,3.259,43893.45,0.00622,0.00376,,,,,,
39.2,3.267,43957.9,0.0063,0.00381,,,,,,
39.3,3.275,43987.26,0.00637,0.00386,,,,,,
39.4,3.283,44030.28,0.00644,0.00392,,,,,,
39.5,3.292,44084.4,0.00652,0.00397,,,,,,
39.6,3.3,44127.09,0.0066,0.00403,,,,,,
39.7,3.308,44170.61,0.00668,0.00408,,,,,,
39.8,3.317,44200.48,0.00676,0.00414,,,,,,
39.9,3.325,44233.21,0.00684,0.0042,,,,,,
40,3.334,44285.95,0.00692,0.00426,,,,,,
40.1,3.342,44317.32,0.00701,0.00431,,,,,,
40.2,3.35,44364.56,0.00709,0.00437,,,,,,
40.3,3.358,44391.23,0.00718,0.00443,,,,,,
40.4,3.367,44411.99,0.00727,0.00449,,,,,,
40.5,3.375,44448.07,0.00735,0.00455,,,,,,
40.6,3.383,44503.23,0.00744,0.00461,,,,,,
40.7,3.392,44531.55,0.00753,0.00467,,,,,,
40.8,3.4,44572.29,0.00762,0.00474,,,,,,
40.9,3.408,44590.25,0.00771,0.0048,,,,,,
41,3.417,44610.7,0.00781,0.00486,,,,,,
41.1,3.425,44643.34,0.0079,0.00492,,,,,,
41.2,3.434,44680.57,0.008,0.00499,,,,,,
41.3,3.442,44704.42,0.00809,0.00505,,,,,,
41.4,3.45,44728.84,0.00819,0.00512,,,,,,
41.5,3.458,44766.23,0.00829,0.00518,,,,,,
41.6,3.467,44804.71,0.00839,0.00524,,,,,,
41.7,3.475,44814.37,0.00849,0.00531,,,,,,
41.8,3.484,44829.9,0.00859,0.00538,,,,,,
41.9,3.492,44850.64,0.0087,0.00545,,,,,,
42,3.5,44879.95,0.0088,0.00552,,,,,,
42.1,3.509,44906.43,0.0089,0.00558,,,,,,
42.2,3.517,44921.09,0.00901,0.00565,,,,,,
42.3,3.525,44959.36,0.00911,0.00572,,,,,,
42.4,3.534,44985.22,0.00922,0.00579,,,,,,
42.5,3.542,45001.17,0.00932,0.00586,,,,,,
42.6,3.55,45009.35,0.00943,0.00593,,,,,,
42.7,3.558,45021.11,0.00954,0.006,,,,,,
42.8,3.567,45042.28,0.00965,0.00607,,,,,,
42.9,3.575,45067.79,0.00976,0.00614,,,,,,
43,3.583,45089.14,0.00987,0.00621,,,,,,
43.1,3.592,45113.85,0.00999,0.00628,,,,,,
43.2,3.6,45127.77,0.0101,0.00635,,,,,,
43.3,3.609,45144.04,0.01021,0.00643,,,,,,
43.4,3.617,45164.48,0.01033,0.0065,,,,,,
43.5,3.625,45175.81,0.01044,0.00657,,,,,,
43.6,3.634,45192.76,0.01055,0.00664,,,,,,
43.7,3.642,45210.3,0.01067,0.00671,,,,,,
43.8,3.65,45219.78,0.01079,0.00679,,,,,,
43.9,3.659,45223.46,0.0109,0.00686,,,,,,
44,3.667,45236.31,0.01102,0.00693,,,,,,
44.1,3.675,45252.84,0.01114,0.007,,,,,,
44.2,3.684,45263.61,0.01126,0.00708,,,,,,
44.3,3.692,45276.68,0.01138,0.00716,,,,,,
44.4,3.7,45293.55,0.0115,0.00723,,,,,,
44.5,3.709,45312.01,0.01162,0.0073,,,,,,
44.6,3.717,45325.21,0.01174,0.00738,,,,,,
44.7,3.725,45337.96,0.01186,0.00745,,,,,,
44.8,3.734,45347.87,0.01199,0.00753,,,,,,
44.9,3.742,45366.6,0.01212,0.0076,,,,,,
45,3.75,45378.8,0.01224,0.00768,,,,,,
45.1,3.759,45387.09,0.01237,0.00776,,,,,,
45.2,3.767,45403.69,0.0125,0.00783,,,,,,
45.3,3.775,45419.16,0.01262,0.00791,,,,,,
45.4,3.784,45422.51,0.01275,0.00799,,,,,,
45.5,3.792,45425.62,0.01287,0.00806,,,,,,
45.6,3.8,45427.8,0.013,0.00814,,,,,,
45.7,3.808,45434.12,0.01313,0.00821,,,,,,
45.8,3.817,45438.33,0.01326,0.00829,,,,,,
45.9,3.825,45441.16,0.01339,0.00837,,,,,,
46,3.833,45445.53,0.01352,0.00844,,,,,,
46.1,3.842,45452.25,0.01365,0.00852,,,,,,
46.2,3.85,45456.01,0.01378,0.0086,,,,,,
46.3,3.858,45458.71,0.0139,0.00867,,,,,,
46.4,3.867,45469.01,0.01403,0.00875,,,,,,
46.5,3.875,45485.26,0.01416,0.00883,,,,,,
46.6,3.884,45490.68,0.0143,0.00891,,,,,,
46.7,3.892,45501.68,0.01443,0.00898,,,,,,
46.8,3.9,45510.27,0.01456,0.00906,,,,,,
46.9,3.909,45520.38,0.01469,0.00914,,,,,,
47,3.917,45527.29,0.01483,0.00921,,,,,,
47.1,3.925,45529.94,0.01496,0.0093,,,,,,
47.2,3.933,45535.38,0.01509,0.00937,,,,,,
47.3,3.942,45535.87,0.01523,0.00945,,,,,,
47.4,3.95,45542.98,0.01537,0.00953,,,,,,
47.5,3.959,45558.08,0.0155,0.00961,,,,,,
47.6,3.967,45558.76,0.01564,0.00969,,,,,,
47.7,3.975,45567.13,0.01577,0.00977,,,,,,
47.8,3.984,45578.38,0.01591,0.00986,,,,,,
47.9,3.992,45579.41,0.01604,0.00993,,,,,,
